gauge_id,inter_high_perc,inter_mod_perc,inter_low_perc,frac_high_perc,frac_mod_perc,frac_low_perc,no_gw_perc,low_nsig_perc,nsig_low_perc
10002,0.00,18.51,0.00,0.00,0.00,23.59,57.81,0.00,0.08
10003,0.00,13.13,0.00,0.00,0.00,23.09,63.66,0.00,0.12
1001,0.00,10.19,0.00,0.00,2.25,0.00,87.56,0.00,0.00
101002,45.27,31.08,0.08,4.28,0.00,0.00,19.29,0.00,0.00
101005,28.84,43.99,0.00,8.92,0.00,0.00,18.25,0.00,0.00
102001,0.00,11.28,0.00,0.00,0.00,1.94,86.78,0.00,0.00
106001,0.00,0.00,0.00,0.00,0.00,4.65,95.35,0.00,0.00
107001,0.00,9.64,0.00,0.00,4.60,0.00,85.75,0.00,0.00
11001,0.00,18.26,0.00,0.00,0.00,19.30,62.43,0.00,0.01
11003,0.00,15.17,0.00,0.00,0.00,27.28,57.55,0.00,0.00
11004,0.00,15.24,0.00,0.00,0.00,12.68,71.99,0.00,0.08
12001,0.00,14.64,0.00,0.00,0.00,31.95,53.41,0.00,0.00
12002,0.00,15.37,0.00,0.00,0.00,30.47,54.17,0.00,0.00
12005,0.00,5.90,0.00,0.00,0.00,28.02,66.08,0.00,0.00
12006,0.00,10.72,0.00,0.00,0.00,36.95,52.33,0.00,0.00
12007,0.00,9.45,0.00,0.00,0.00,38.92,51.63,0.00,0.00
12008,0.00,14.42,0.00,0.00,0.00,30.96,54.61,0.00,0.00
12009,0.00,8.00,0.00,0.00,0.00,10.64,81.36,0.00,0.00
13001,0.00,22.77,0.00,0.00,7.74,17.41,52.08,0.00,0.00
13004,0.00,14.87,0.00,0.00,0.00,36.25,48.88,0.00,0.00
13005,0.00,25.46,0.00,0.00,0.79,0.75,72.99,0.00,0.00
13007,0.00,19.14,0.00,0.00,1.66,17.63,61.57,0.00,0.00
13008,0.00,31.62,0.00,0.00,1.08,23.06,44.24,0.00,0.00
14001,1.41,28.65,0.00,0.00,3.54,5.55,59.70,1.15,0.00
14002,0.00,19.17,0.00,0.00,1.52,0.93,78.38,0.00,0.00
