gauge_id,q_mean,runoff_ratio,stream_elas,slope_fdc,baseflow_index,baseflow_index_ceh,hfd_mean,Q5,Q95,high_q_freq,high_q_dur,low_q_freq,low_q_dur,zero_q_freq
10002,1.31,0.56,1.19,1.94,0.66,0.63,130.50,0.32,3.50,2.15,1.32,6.41,7.52,0.00
10003,1.32,0.55,1.37,1.95,0.72,0.73,136.53,0.32,3.36,0.99,1.39,8.64,9.71,0.00
1001,1.62,0.61,1.15,4.09,0.49,0.39,108.78,0.08,5.48,7.36,1.52,103.48,11.74,0.00
101002,0.90,0.38,1.26,1.49,0.68,0.66,135.31,0.25,2.47,3.48,1.22,3.46,5.00,0.00
101005,0.79,0.35,1.35,1.51,0.63,0.59,136.22,0.26,2.27,5.89,1.38,0.35,2.80,0.00
102001,1.73,0.57,1.59,4.12,0.50,0.44,103.88,0.08,6.10,12.90,1.53,114.28,17.09,0.00
106001,3.21,0.78,1.33,3.06,0.56,0.47,125.67,0.20,9.22,0.27,1.40,68.87,12.41,0.00
107001,2.19,0.72,1.11,3.64,0.51,0.39,117.21,0.18,7.39,4.32,1.27,89.32,12.38,0.00
11001,1.43,0.55,1.37,1.90,0.69,0.68,143.92,0.38,3.60,1.12,1.81,1.33,4.60,0.00
11003,1.71,0.58,1.27,1.66,0.69,0.67,152.20,0.53,4.22,1.15,1.36,0.00,0.00,0.00
11004,1.44,0.57,1.37,1.72,0.73,0.74,144.54,0.39,3.47,1.39,1.79,0.48,3.60,0.00
12001,2.37,0.70,1.23,1.91,0.60,0.53,142.77,0.50,6.55,1.73,1.36,15.52,7.91,0.00
12002,2.22,0.67,1.32,1.98,0.59,0.52,139.16,0.42,6.16,2.12,1.54,21.86,8.46,0.00
12005,3.01,0.78,1.03,2.04,0.56,0.48,141.87,0.52,8.78,3.41,1.50,25.37,9.89,0.00
12006,2.27,0.67,1.29,1.86,0.60,0.53,146.64,0.50,6.13,2.12,1.45,11.50,7.89,0.00
12007,3.61,0.84,0.93,2.13,0.53,0.43,150.39,0.67,10.87,2.70,1.17,22.17,6.48,0.00
12008,2.22,0.66,1.54,2.23,0.52,0.45,136.97,0.34,7.10,8.38,1.50,40.41,10.30,0.00
12009,2.67,0.71,1.13,2.28,0.45,0.37,136.44,0.40,9.69,13.58,1.40,43.97,8.15,0.00
13001,1.53,0.60,1.50,2.19,0.59,0.54,131.75,0.27,4.62,5.73,1.68,28.20,11.15,0.00
13004,2.67,0.70,1.15,2.02,0.59,0.54,135.39,0.56,7.84,3.36,1.37,14.20,6.78,0.00
13005,1.14,0.54,1.44,2.67,0.56,0.52,123.64,0.14,3.91,9.58,2.13,56.38,15.56,0.00
13007,2.25,0.68,1.21,2.30,0.56,0.50,133.85,0.39,6.86,5.13,1.53,30.18,8.35,0.00
13008,2.27,0.66,1.32,2.11,0.59,0.53,135.28,0.42,6.69,2.57,1.48,24.83,8.66,0.00
14001,1.15,0.49,1.15,2.07,0.65,0.63,134.90,0.27,3.32,2.77,1.62,5.44,7.26,0.00
14002,1.11,0.47,1.29,2.50,0.62,0.59,129.35,0.17,3.48,4.02,1.95,40.92,9.57,0.00
14005,0.85,0.42,1.63,2.44,0.60,0.58,133.10,0.15,2.64,5.55,2.50,25.96,7.24,0.00
15006,3.35,0.78,1.15,2.18,0.67,0.65,130.48,0.82,8.50,0.21,1.22,5.37,12.13,0.00
15007,4.59,0.80,1.16,2.12,0.65,0.63,128.29,0.92,12.02,0.35,1.64,17.94,6.86,0.00
15010,1.90,0.58,1.39,2.17,0.59,0.52,133.82,0.38,5.87,3.24,1.40,18.33,7.02,0.00
15011,2.85,0.49,1.10,2.01,0.53,0.43,133.46,0.68,9.06,5.65,1.29,5.12,4.93,0.00
15012,3.86,0.84,1.03,2.38,0.66,0.62,131.52,1.03,9.66,0.32,1.45,1.19,11.80,0.00
15013,2.65,0.62,1.51,2.59,0.52,0.43,126.04,0.37,8.88,7.12,1.36,49.17,9.12,0.00
15014,2.69,0.66,1.12,2.45,0.49,0.39,133.34,0.38,9.42,6.73,1.20,43.53,6.49,0.00
15016,6.76,1.06,1.01,2.13,0.66,0.66,127.61,1.10,17.68,0.04,2.00,27.24,14.13,0.00
15021,1.47,0.55,1.19,2.48,0.63,0.64,128.03,0.15,4.22,1.45,2.45,47.80,17.76,0.00
15023,2.87,0.70,1.35,2.81,0.50,0.43,125.05,0.26,9.71,6.44,1.51,67.95,12.06,0.00
15024,5.89,0.77,1.03,3.48,0.41,0.26,127.88,0.50,20.82,10.04,1.39,81.62,6.99,0.00
15025,2.56,0.70,1.09,2.31,0.55,0.47,132.66,0.41,7.89,3.44,1.18,35.61,7.07,0.00
15030,1.30,0.53,1.50,2.23,0.61,0.58,137.94,0.25,4.09,4.06,2.21,26.13,9.98,0.00
15039,3.72,0.79,1.04,2.16,0.51,0.40,135.23,0.74,12.40,6.34,1.25,18.90,5.38,0.00
16001,3.48,0.77,1.19,2.78,0.59,0.53,125.17,0.46,9.91,0.94,1.23,50.87,7.13,0.00
16003,4.52,0.80,1.16,3.22,0.41,0.28,125.48,0.35,17.05,14.62,1.32,84.91,7.65,0.00
16004,3.25,0.77,1.33,2.81,0.58,0.52,123.88,0.43,9.69,1.78,1.35,48.38,7.44,0.00
17001,2.55,0.57,1.38,2.89,0.46,0.35,120.02,0.43,9.49,16.10,1.80,43.04,5.13,0.00
