rcp,direction,metric,point,ci_lo,ci_hi,base_n,fut_n,member_min,member_med,member_max
rcp26,FTD,median,2.0,1.0,3.0,16514,14392,2.0,2.0,2.0
rcp26,FTD,p90,30.0,23.0,38.0,16514,14392,,,
rcp26,FTD,slowshare,0.043,0.032,0.054,16514,14392,,,
rcp45,FTD,median,2.0,1.0,3.0,16514,13834,0.0,2.5,6.0
rcp45,FTD,p90,33.0,28.0,39.0,16514,13834,,,
rcp45,FTD,slowshare,0.047,0.036,0.06,16514,13834,,,
rcp60,FTD,median,3.0,2.0,4.0,16514,14639,1.0,3.0,6.0
rcp60,FTD,p90,31.0,26.0,37.0,16514,14639,,,
rcp60,FTD,slowshare,0.042,0.032,0.054,16514,14639,,,
rcp85,FTD,median,8.0,5.0,11.0,16514,15679,1.0,9.5,16.0
rcp85,FTD,p90,35.0,29.0,40.0,16514,15679,,,
rcp85,FTD,slowshare,0.052,0.039,0.065,16514,15679,,,
rcp26,DTF,median,2.0,1.0,2.0,22360,19526,-1.0,1.5,3.0
rcp26,DTF,p90,3.0,2.0,4.0,22360,19526,,,
rcp26,DTF,slowshare,-0.002,-0.003,-0.001,22360,19526,,,
rcp45,DTF,median,2.0,1.0,2.0,22360,18911,0.0,1.0,4.0
rcp45,DTF,p90,4.0,2.0,5.0,22360,18911,,,
rcp45,DTF,slowshare,-0.001,-0.003,0.0,22360,18911,,,
rcp60,DTF,median,2.0,1.0,2.0,22360,19209,0.0,1.5,3.0
rcp60,DTF,p90,2.0,0.0,3.0,22360,19209,,,
rcp60,DTF,slowshare,-0.002,-0.003,-0.0,22360,19209,,,
rcp85,DTF,median,2.0,1.0,3.0,22360,18321,0.0,2.0,4.0
rcp85,DTF,p90,3.0,1.0,4.0,22360,18321,,,
rcp85,DTF,slowshare,-0.002,-0.003,-0.0,22360,18321,,,
