gap_lo,gap_hi,n_all,lz_share_all,n_coherent,lz_share_coherent
0,10,47252,0.0014832393948383269,43003,0.0
10,20,67909,0.11449851482953789,36297,0.1326555913711877
20,30,53955,0.39026666666666665,12431,0.7572198535918269
30,40,44960,0.47913291500285227,7315,0.9036226930963773
40,50,43189,0.5481839276412369,5004,0.9442446043165468
50,60,41244,0.6068076277047723,3729,0.9436846339501207
60,75,61573,0.6706681879061461,4456,0.9643177737881508
75,90,62312,0.7205844028926965,3545,0.9796897038081805
90,120,98266,0.7540008439079111,4459,0.9905808477237049
120,180,100478,0.8086306387676251,3576,0.9983221476510067
180,730,24146,0.8731309092423675,785,1.0
