attribute,median_resp,median_nonresp,effect_r,p,fdr
baseflow_index,0.78,0.62,0.405,0.0113,0.1914
high_q_dur,1.155,1.82,-0.404,0.0109,0.1914
PERC,2.6552,1.7138,0.379,0.0179,0.2027
pet_mean,1.625,1.54,0.36,0.0242,0.206
d_pet_summer,105.111,93.4933,0.33,0.0392,0.2349
stream_elas,1.27,1.45,-0.326,0.0415,0.2349
frac_high_perc,38.2,12.91,0.3,0.0575,0.2733
slope_fdc,1.875,2.16,-0.294,0.0665,0.2733
d_aridity_summer,1.353,1.1102,0.285,0.0751,0.2733
high_prec_freq,17.93,17.365,0.28,0.0804,0.2733
area,110.13,163.25,-0.257,0.108,0.3232
low_q_dur,5.48,8.945,-0.244,0.1267,0.3232
d_pet_annual,184.4202,174.1408,0.238,0.1384,0.3232
d_tas_mean,3.3948,3.2839,0.235,0.1426,0.3232
d_p_summer,-48.4599,-53.9645,0.235,0.1426,0.3232
elev_mean,110.0,124.5,-0.223,0.1652,0.3352
dpsbar,51.95,65.9,-0.221,0.1676,0.3352
BETA,3.3096,4.4583,-0.206,0.198,0.3739
d_p_annual,-37.9139,-41.3245,0.18,0.2622,0.4692
LP,0.5907,0.4146,0.161,0.3139,0.5168
aridity,0.75,0.695,0.16,0.3192,0.5168
UZL,38.9399,47.5756,-0.137,0.3927,0.6069
runoff_ratio,0.43,0.38,0.129,0.4236,0.6262
K0,0.2735,0.296,-0.121,0.4516,0.6398
p_mean,2.185,2.345,-0.103,0.5253,0.6869
K1,0.1493,0.1795,-0.095,0.5564,0.6922
frac_snow,0.01,0.01,-0.088,0.4857,0.6606
d_aridity,0.275,0.2661,0.083,0.6103,0.7155
p_seasonality,-0.11,-0.12,-0.062,0.7004,0.7695
K2,0.0186,0.0132,0.061,0.7067,0.7695
inter_high_perc,0.0,0.0,0.058,0.5701,0.6922
Q95,2.53,2.56,-0.057,0.7242,0.7695
FC,299.9466,309.1882,-0.049,0.7656,0.7888
d_seasonality,0.4633,0.4393,-0.002,0.9937,0.9937
